Index,Date,Temperature
338,1803-03-01,3.2
339,1803-04-01,10.8
340,1803-05-01,11.4
341,1803-06-01,14.6
342,1803-07-01,17.1
343,1803-08-01,16.8
344,1803-09-01,11.0
345,1803-10-01,7.9
346,1803-11-01,4.9
347,1803-12-01,0.6
348,1804-01-01,2.1
349,1804-02-01,-0.1
350,1804-03-01,1.2
351,1804-04-01,8.4
352,1804-05-01,13.2
353,1804-06-01,15.6
354,1804-07-01,16.8
355,1804-08-01,15.7
356,1804-09-01,13.9
357,1804-10-01,8.9
358,1804-11-01,1.1
359,1804-12-01,-2.1
360,1805-01-01,-1.8
361,1805-02-01,-0.1
362,1805-03-01,2.3
363,1805-04-01,6.3
364,1805-05-01,11.4
365,1805-06-01,14.5
366,1805-07-01,15.5
367,1805-08-01,14.9
368,1805-09-01,13.1
369,1805-10-01,5.5
370,1805-11-01,1.4
371,1805-12-01,0.6
372,1806-01-01,2.7
373,1806-02-01,2.7
374,1806-03-01,4.7
375,1806-04-01,6.8
376,1806-05-01,14.8
377,1806-06-01,15.4
378,1806-07-01,16.2
379,1806-08-01,15.9
380,1806-09-01,13.6
381,1806-10-01,7.5
382,1806-11-01,5.2
383,1806-12-01,3.8
384,1807-01-01,-0.3
385,1807-02-01,2.5
386,1807-03-01,2.1
387,1807-04-01,7.2
388,1807-05-01,14.3
389,1807-06-01,15.0
390,1807-07-01,18.1
391,1807-08-01,21.1
392,1807-09-01,13.2
393,1807-10-01,9.7
394,1807-11-01,5.5
395,1807-12-01,0.5
396,1808-01-01,0.0
397,1808-02-01,-0.1
398,1808-03-01,-1.3
399,1808-04-01,7.3
400,1808-05-01,14.5
401,1808-06-01,15.4
402,1808-07-01,18.1
403,1808-08-01,18.2
404,1808-09-01,14.2
405,1808-10-01,7.3
406,1808-11-01,3.3
407,1808-12-01,-3.3
408,1809-01-01,-1.2
409,1809-02-01,2.1
410,1809-03-01,2.6
411,1809-04-01,5.9
412,1809-05-01,13.8
413,1809-06-01,15.6
414,1809-07-01,17.0
415,1809-08-01,16.8
416,1809-09-01,13.2
417,1809-10-01,7.0
418,1809-11-01,2.0
419,1809-12-01,2.1
420,1810-01-01,-2.0
421,1810-02-01,-0.6
422,1810-03-01,4.7
423,1810-04-01,7.7
424,1810-05-01,13.4
425,1810-06-01,13.7
426,1810-07-01,16.9
427,1810-08-01,16.6
428,1810-09-01,15.2
429,1810-10-01,8.1
430,1810-11-01,3.6
431,1810-12-01,2.4
432,1811-01-01,-4.8
433,1811-02-01,-0.4
434,1811-03-01,5.7
435,1811-04-01,9.2
436,1811-05-01,16.0
437,1811-06-01,19.3
438,1811-07-01,17.7
439,1811-08-01,17.4
440,1811-09-01,13.5
441,1811-10-01,12.0
442,1811-11-01,4.9
443,1811-12-01,0.5
444,1812-01-01,-3.3
445,1812-02-01,1.2
446,1812-03-01,4.6
447,1812-04-01,5.8
448,1812-05-01,13.7
449,1812-06-01,15.7
450,1812-07-01,15.9
451,1812-08-01,16.0
452,1812-09-01,11.3
453,1812-10-01,10.4
454,1812-11-01,2.8
455,1812-12-01,-3.6
456,1813-01-01,-3.1
457,1813-02-01,2.6
458,1813-03-01,3.1
459,1813-04-01,9.9
460,1813-05-01,13.4
461,1813-06-01,13.6
462,1813-07-01,15.5
463,1813-08-01,14.7
464,1813-09-01,11.7
465,1813-10-01,8.1
466,1813-11-01,3.4
467,1813-12-01,1.2
468,1814-01-01,-1.5
469,1814-02-01,-3.7
470,1814-03-01,3.3
471,1814-04-01,9.9
472,1814-05-01,10.8
473,1814-06-01,13.6
474,1814-07-01,17.4
475,1814-08-01,16.3
476,1814-09-01,10.6
477,1814-10-01,7.5
478,1814-11-01,4.0
479,1814-12-01,2.5
480,1815-01-01,-3.0
481,1815-02-01,3.6
482,1815-03-01,7.2
483,1815-04-01,10.7
484,1815-05-01,16.8
485,1815-06-01,19.5
486,1815-07-01,19.0
487,1815-08-01,18.9
488,1815-09-01,14.6
489,1815-10-01,10.7
490,1815-11-01,3.2
491,1815-12-01,-3.3
492,1816-01-01,0.7
493,1816-02-01,-0.2
494,1816-03-01,4.4
495,1816-04-01,10.6
496,1816-05-01,14.9
497,1816-06-01,18.3
498,1816-07-01,18.9
499,1816-08-01,18.8
500,1816-09-01,15.3
501,1816-10-01,9.5
502,1816-11-01,4.0
503,1816-12-01,-1.3
504,1817-01-01,2.4
505,1817-02-01,5.4
506,1817-03-01,5.4
507,1817-04-01,5.5
508,1817-05-01,16.8
509,1817-06-01,21.9
510,1817-07-01,20.7
511,1817-08-01,20.3
512,1817-09-01,17.0
513,1817-10-01,7.7
514,1817-11-01,5.9
515,1817-12-01,0.6
516,1818-01-01,1.6
517,1818-02-01,1.3
518,1818-03-01,5.5
519,1818-04-01,10.5
520,1818-05-01,12.4
521,1818-06-01,15.9
522,1818-07-01,17.0
523,1818-08-01,15.7
524,1818-09-01,13.4
525,1818-10-01,9.2
526,1818-11-01,4.2
527,1818-12-01,-1.0
528,1819-01-01,-0.1
529,1819-02-01,2.6
530,1819-03-01,5.6
531,1819-04-01,9.6
532,1819-05-01,12.2
533,1819-06-01,16.4
534,1819-07-01,17.4
535,1819-08-01,16.1
536,1819-09-01,13.7
537,1819-10-01,8.3
538,1819-11-01,4.1
539,1819-12-01,-0.9
540,1820-01-01,-3.8
541,1820-02-01,1.0
542,1820-03-01,2.8
543,1820-04-01,10.2
544,1820-05-01,14.9
545,1820-06-01,14.2
546,1820-07-01,15.8
547,1820-08-01,18.8
548,1820-09-01,12.3
549,1820-10-01,8.5
550,1820-11-01,3.1
551,1820-12-01,-1.2
552,1821-01-01,0.9
553,1821-02-01,-1.1
554,1821-03-01,3.0
555,1821-04-01,10.0
556,1821-05-01,12.0
557,1821-06-01,12.1
558,1821-07-01,15.0
559,1821-08-01,15.7
560,1821-09-01,13.5
561,1821-10-01,8.2
562,1821-11-01,5.3
563,1821-12-01,3.2
564,1822-01-01,1.6
565,1822-02-01,2.0
566,1822-03-01,7.0
567,1822-04-01,9.4
568,1822-05-01,14.1
569,1822-06-01,16.8
570,1822-07-01,17.9
571,1822-08-01,16.1
572,1822-09-01,13.3
573,1822-10-01,10.4
574,1822-11-01,3.9
575,1822-12-01,-0.3
576,1823-01-01,-5.9
577,1823-02-01,1.1
578,1823-03-01,4.4
579,1823-04-01,8.2
580,1823-05-01,13.3
581,1823-06-01,14.6
582,1823-07-01,15.5
583,1823-08-01,16.6
584,1823-09-01,13.3
585,1823-10-01,9.2
586,1823-11-01,3.7
587,1823-12-01,1.3
588,1824-01-01,0.3
589,1824-02-01,2.7
590,1824-03-01,3.5
591,1824-04-01,7.6
592,1824-05-01,12.2
593,1824-06-01,14.8
594,1824-07-01,16.5
595,1824-08-01,15.8
596,1824-09-01,14.4
597,1824-10-01,8.8
598,1824-11-01,4.9
599,1824-12-01,4.1
600,1825-01-01,1.8
601,1825-02-01,0.9
602,1825-03-01,2.0
603,1825-04-01,9.3
604,1825-05-01,12.9
605,1825-06-01,15.1
606,1825-07-01,16.1
607,1825-08-01,15.9
608,1825-09-01,12.2
609,1825-10-01,6.4
610,1825-11-01,5.1
611,1825-12-01,3.2
612,1826-01-01,-4.9
613,1826-02-01,-1.5
614,1826-03-01,4.5
615,1826-04-01,8.2
616,1826-05-01,10.6
617,1826-06-01,15.0
618,1826-07-01,18.0
619,1826-08-01,18.4
620,1826-09-01,13.5
621,1826-10-01,9.1
622,1826-11-01,3.3
623,1826-12-01,2.1
624,1827-01-01,-0.8
625,1827-02-01,-2.5
626,1827-03-01,5.1
627,1827-04-01,9.8
628,1827-05-01,14.0
629,1827-06-01,16.5
630,1827-07-01,18.3
631,1827-08-01,15.4
632,1827-09-01,12.3
633,1827-10-01,9.0
634,1827-11-01,0.2
635,1827-12-01,1.2
636,1828-01-01,-1.1
637,1828-02-01,-1.7
638,1828-03-01,4.5
639,1828-04-01,9.6
640,1828-05-01,12.6
641,1828-06-01,15.6
642,1828-07-01,17.4
643,1828-08-01,15.0
644,1828-09-01,12.3
645,1828-10-01,7.2
646,1828-11-01,4.0
647,1828-12-01,1.7
648,1829-01-01,-3.0
649,1829-02-01,-3.3
650,1829-03-01,1.8
651,1829-04-01,8.1
652,1829-05-01,10.6
653,1829-06-01,12.7
654,1829-07-01,16.4
655,1829-08-01,13.8
656,1829-09-01,12.6
657,1829-10-01,6.1
658,1829-11-01,-0.2
659,1829-12-01,-5.8
660,1830-01-01,-6.6
661,1830-02-01,-2.8
662,1830-03-01,3.1
663,1830-04-01,9.5
664,1830-05-01,12.5
665,1830-06-01,15.5
666,1830-07-01,16.9
667,1830-08-01,16.4
668,1830-09-01,11.1
669,1830-10-01,6.9
670,1830-11-01,4.1
671,1830-12-01,1.2
672,1831-01-01,-2.7
673,1831-02-01,0.8
674,1831-03-01,4.2
675,1831-04-01,10.5
676,1831-05-01,12.0
677,1831-06-01,13.4
678,1831-07-01,17.0
679,1831-08-01,15.4
680,1831-09-01,10.9
681,1831-10-01,10.2
682,1831-11-01,3.3
683,1831-12-01,-0.3
684,1832-01-01,-0.8
685,1832-02-01,1.1
686,1832-03-01,3.6
687,1832-04-01,8.0
688,1832-05-01,11.0
689,1832-06-01,13.8
690,1832-07-01,15.4
691,1832-08-01,16.6
692,1832-09-01,11.8
693,1832-10-01,8.2
694,1832-11-01,1.9
695,1832-12-01,-0.9
696,1833-01-01,-5.1
697,1833-02-01,2.8
698,1833-03-01,3.9
699,1833-04-01,6.7
700,1833-05-01,15.4
701,1833-06-01,16.5
702,1833-07-01,14.3
703,1833-08-01,13.5
704,1833-09-01,11.6
705,1833-10-01,7.5
706,1833-11-01,3.6
707,1833-12-01,4.1
708,1834-01-01,3.2
709,1834-02-01,0.5
710,1834-03-01,3.5
711,1834-04-01,6.9
712,1834-05-01,14.9
713,1834-06-01,16.9
714,1834-07-01,19.2
715,1834-08-01,17.6
716,1834-09-01,15.6
717,1834-10-01,7.9
718,1834-11-01,2.4
719,1834-12-01,1.4
720,1835-01-01,0.4
721,1835-02-01,2.0
722,1835-03-01,3.9
723,1835-04-01,7.2
724,1835-05-01,13.1
725,1835-06-01,15.1
726,1835-07-01,17.6
727,1835-08-01,16.5
728,1835-09-01,13.0
729,1835-10-01,7.6
730,1835-11-01,-0.1
731,1835-12-01,-1.6
732,1836-01-01,-1.4
733,1836-02-01,1.1
734,1836-03-01,7.3
735,1836-04-01,8.4
736,1836-05-01,9.9
737,1836-06-01,15.6
738,1836-07-01,16.2
739,1836-08-01,15.5
740,1836-09-01,12.5
741,1836-10-01,8.5
742,1836-11-01,2.6
743,1836-12-01,2.8
744,1837-01-01,-1.1
745,1837-02-01,-1.9
746,1837-03-01,1.8
